applicant_gender,total_income,income_type,education_type,family_status,job_title,applicant_age,years_of_working,total_bad_debt,total_good_debt,status
Female,,,,Married,,53,,,,1
Male,180000,Working,Secondary / Secondary Special,Married,Managers,45,,,28,1
,112500,,,,,,,0,,1
Female,270000,State Servant,Higher Education,Married,,,,0,27,1
,,Working,Higher Education,Married,,,7,0,5,1
Male,,,Secondary / Secondary Special,,,47,,,2,1
Female,135000,,,,Core Staff,,6,9,40,1
,,,Higher Education,,,53,21,1,,1
,,,,,Core Staff,33,2,1,9,1
,94500,State Servant,Higher Education,,,51,6,0,46,1
,,Working,Secondary / Secondary Special,Married,,45,,,15,1
,,Commercial Associate,,Married,Sales Staff,41,,2,38,1
Female,,Working,Secondary / Secondary Special,,,43,10,,21,1
,,,,Widow,,64,,,15,1
,189000,,,,Accountants,,6,0,,1
Male,,Commercial Associate,,Civil Marriage,Laborers,,,,,1
Female,337500,Working,,Widow,Accountants,62,9,,,1
,,,Secondary / Secondary Special,Married,,35,,,11,1
,,State Servant,,,Core Staff,25,,0,,1
Female,270000,Commercial Associate,,,,38,8,0,27,1
,,Working,,Married,Accountants,40,1,,2,1
Female,,,,Married,Cleaning Staff,31,1,0,,1
Female,148500,,Secondary / Secondary Special,Married,Laborers,57,14,,11,1
,,,,Married,Cooking Staff,53,,,,1
Male,,,Higher Education,Married,,30,6,0,45,1
,,,Higher Education,Married,,42,1,0,,1
Male,67500,,Secondary / Secondary Special,,Security Staff,,2,,16,1
Female,135000,,Secondary / Secondary Special,Single / Not Married,Cooking Staff,,1,0,,1
Female,103500,,,Civil Marriage,Cooking Staff,31,,,,1
,,,Secondary / Secondary Special,Married,,55,14,0,,1
,,State Servant,Secondary / Secondary Special,,Core Staff,32,2,0,,1
,67500,Working,,,,47,,0,5,1
Male,292500,State Servant,Higher Education,,Core Staff,,,,18,1
Female,270000,Working,Secondary / Secondary Special,,,,9,0,47,1
,117000,Working,Secondary / Secondary Special,,,,,0,58,1
,270000,Working,Higher Education,Married,,,,0,,1
,,Working,,Married,,,,,8,1
,135000,Working,,Married,,26,3,,,1
Female,,,Secondary / Secondary Special,,Core Staff,,28,0,37,1
Female,,,,,Accountants,61,5,,,1
Male,126000,,Secondary / Secondary Special,Married,,,10,,37,1
Male,675000,,Higher Education,,Core Staff,,,3,40,1
,157500,Working,Higher Education,Married,Laborers,,8,,42,1
,135000,Working,,,,,,0,,1
Female,157500,,Secondary / Secondary Special,,Cleaning Staff,,3,0,17,1
Female,270000,Working,Higher Education,Married,,26,1,0,4,1
,72000,Commercial Associate,Secondary / Secondary Special,Married,Sales Staff,34,,1,33,1
Male,,,,Married,Security Staff,56,8,,30,1
Female,,State Servant,Secondary / Secondary Special,Married,,40,7,,17,1
,,Working,Secondary / Secondary Special,,,44,9,0,3,1
Male,,,,Married,,46,,,20,1
Male,238500,,Secondary / Secondary Special,Single / Not Married,Security Staff,25,1,,17,1
Female,,Working,,,Core Staff,64,,0,,1
,,,,,Medicine Staff,38,2,,,1
,,State Servant,,Civil Marriage,High Skill Tech Staff,,5,0,17,1
Male,135000,Working,Secondary / Secondary Special,Married,Security Staff,,1,0,,1
,,,,,Managers,,12,0,,1
Female,,,Secondary / Secondary Special,,Sales Staff,56,9,0,,1
,270000,Commercial Associate,,Married,Laborers,,4,,31,1
Male,,Working,Secondary / Secondary Special,,Drivers,45,5,,23,1
Male,,,,Married,,54,5,,,1
Female,117000,Working,Secondary / Secondary Special,Civil Marriage,Managers,,19,0,,1
Female,,Commercial Associate,,,,,5,,,1
,135000,,,Married,Sales Staff,41,5,0,9,1
Female,90000,Working,,Married,Sales Staff,39,1,0,21,1
,,,Incomplete Higher,Separated,,39,4,,7,1
Female,99000,,,,Laborers,,,,,1
Female,,State Servant,Higher Education,,,35,13,1,32,1
Male,,,,Married,Sales Staff,,5,0,2,1
,121500,,Higher Education,Married,Accountants,,15,1,31,1
,,,Secondary / Secondary Special,,,56,,,6,1
,112500,Commercial Associate,,Civil Marriage,,29,9,,8,1
,184500,Working,Higher Education,,Core Staff,,13,0,1,1
Female,225000,Working,Secondary / Secondary Special,,Medicine Staff,52,9,,,1
Female,180000,,Secondary / Secondary Special,Married,,50,9,,16,1
,171000,,Higher Education,Separated,,,,0,,1
Female,126000,,Secondary / Secondary Special,Married,,39,,,11,1
Female,112500,,,Married,Laborers,42,16,,,1
,135000,State Servant,,Married,,57,26,0,,1
,157500,,Secondary / Secondary Special,,Security Staff,,1,0,,1
Male,135000,,,Married,,33,10,,20,1
Female,157500,State Servant,Secondary / Secondary Special,,Cleaning Staff,,,0,20,1
Female,,Working,Secondary / Secondary Special,,,,6,0,21,1
,,Working,Higher Education,Married,,51,,,,1
Female,67500,State Servant,Higher Education,,High Skill Tech Staff,,,,,1
Female,,Working,Secondary / Secondary Special,Single / Not Married,Sales Staff,,9,0,,1
,225000,,Secondary / Secondary Special,,Laborers,29,6,,,1
Female,,Commercial Associate,Incomplete Higher,,Sales Staff,38,9,,,1
Male,180000,Working,Incomplete Higher,Married,Laborers,47,,0,45,1
Female,112500,,,Married,Core Staff,38,6,,,1
,,,,Married,,,5,0,,1
Male,247500,,Higher Education,Married,Core Staff,,7,0,4,1
,112500,,Higher Education,,Core Staff,29,,,,1
,171000,Working,,Married,,51,11,0,,1
Female,108000,Working,,Married,Low-Skill Laborers,55,,0,,1
Female,,,,Married,Core Staff,32,,0,30,1
Female,,,Higher Education,Widow,Managers,46,23,,4,1
Female,,State Servant,Secondary / Secondary Special,,Cooking Staff,,5,,26,1
,,,Secondary / Secondary Special,Married,,,,,,1
,360000,,Secondary / Secondary Special,Single / Not Married,,,21,0,,1
,,,Secondary / Secondary Special,Married,Laborers,34,,0,,1
,,Commercial Associate,Secondary / Secondary Special,,Laborers,49,,0,60,1
Female,135000,Commercial Associate,Higher Education,,Core Staff,25,,,,1
Male,,Commercial Associate,Higher Education,,Laborers,28,6,2,,1
Female,144000,Working,Secondary / Secondary Special,Married,Cooking Staff,34,6,0,5,1
,337500,,,Married,Laborers,,2,1,,1
Male,202500,,,Married,,,3,0,8,1
Male,,Commercial Associate,Secondary / Secondary Special,Married,Managers,36,,0,,1
Female,,Working,Secondary / Secondary Special,Separated,,,10,0,,1
Male,,,Secondary / Secondary Special,Married,Laborers,,3,0,26,1
Female,360000,,Secondary / Secondary Special,,Accountants,46,,,60,1
,180000,Working,Higher Education,Civil Marriage,,,6,0,,1
Male,,,Secondary / Secondary Special,Married,,51,,,50,1
,81000,Commercial Associate,Higher Education,,,,,1,2,1
,112500,Working,Incomplete Higher,,,,,0,,1
,297000,Commercial Associate,Secondary / Secondary Special,,Laborers,,,0,,1
Female,,,,,,,9,0,,1
Male,,,Incomplete Higher,,Core Staff,25,,0,,1
,135000,Working,,,Managers,55,,,26,1
Female,,Working,Secondary / Secondary Special,,Waiters/Barmen Staff,36,,0,,1
,171261,State Servant,Secondary / Secondary Special,Single / Not Married,Medicine Staff,27,2,,20,1
Female,405000,,,Civil Marriage,Accountants,55,1,0,,1
,,,Secondary / Secondary Special,Married,Sales Staff,51,,0,,1
Female,112500,,Higher Education,,,,6,,,1
,,Commercial Associate,,Civil Marriage,Medicine Staff,,,0,,1
Female,,Commercial Associate,Secondary / Secondary Special,Married,,40,,0,25,1
