applicant_gender,total_income,income_type,education_type,family_status,job_title,applicant_age,years_of_working,total_bad_debt,total_good_debt,status
Male,180000,Working,Secondary / Secondary Special,Married,Managers,45,7,0,28,1
Unknown,112500,Unknown,Unknown,Unknown,Unknown,40,7,0,18,1
Female,270000,State Servant,Higher Education,Married,Unknown,40,7,0,27,1
Female,135000,Unknown,Unknown,Unknown,Core Staff,40,6,9,40,1
Unknown,94500,State Servant,Higher Education,Unknown,Unknown,51,6,0,46,1
Unknown,189000,Unknown,Unknown,Unknown,Accountants,40,6,0,18,1
Female,337500,Working,Unknown,Widow,Accountants,62,9,0,18,1
Female,270000,Commercial Associate,Unknown,Unknown,Unknown,38,8,0,27,1
Female,148500,Unknown,Secondary / Secondary Special,Married,Laborers,57,14,0,11,1
Male,67500,Unknown,Secondary / Secondary Special,Unknown,Security Staff,40,2,0,16,1
Female,135000,Unknown,Secondary / Secondary Special,Single / Not Married,Cooking Staff,40,1,0,18,1
Female,103500,Unknown,Unknown,Civil Marriage,Cooking Staff,31,7,0,18,1
Unknown,67500,Working,Unknown,Unknown,Unknown,47,7,0,5,1
Male,292500,State Servant,Higher Education,Unknown,Core Staff,40,7,0,18,1
Female,270000,Working,Secondary / Secondary Special,Unknown,Unknown,40,9,0,47,1
Unknown,117000,Working,Secondary / Secondary Special,Unknown,Unknown,40,7,0,58,1
Unknown,270000,Working,Higher Education,Married,Unknown,40,7,0,18,1
Unknown,135000,Working,Unknown,Married,Unknown,26,3,0,18,1
Male,126000,Unknown,Secondary / Secondary Special,Married,Unknown,40,10,0,37,1
Male,675000,Unknown,Higher Education,Unknown,Core Staff,40,7,3,40,1
Unknown,157500,Working,Higher Education,Married,Laborers,40,8,0,42,1
Unknown,135000,Working,Unknown,Unknown,Unknown,40,7,0,18,1
Female,157500,Unknown,Secondary / Secondary Special,Unknown,Cleaning Staff,40,3,0,17,1
Female,270000,Working,Higher Education,Married,Unknown,26,1,0,4,1
Unknown,72000,Commercial Associate,Secondary / Secondary Special,Married,Sales Staff,34,7,1,33,1
Male,238500,Unknown,Secondary / Secondary Special,Single / Not Married,Security Staff,25,1,0,17,1
Male,135000,Working,Secondary / Secondary Special,Married,Security Staff,40,1,0,18,1
Unknown,270000,Commercial Associate,Unknown,Married,Laborers,40,4,0,31,1
Female,117000,Working,Secondary / Secondary Special,Civil Marriage,Managers,40,19,0,18,1
Unknown,135000,Unknown,Unknown,Married,Sales Staff,41,5,0,9,1
Female,90000,Working,Unknown,Married,Sales Staff,39,1,0,21,1
Female,99000,Unknown,Unknown,Unknown,Laborers,40,7,0,18,1
Unknown,121500,Unknown,Higher Education,Married,Accountants,40,15,1,31,1
